ticker,tier,dead,date,close_unadj,mcap,n,implied_spot,totvol,totoi,n_oi_pos,zero_bid,med_spread,earn_n,earn_covers_date
AARD,cap150,False,2026-08-05,7.52,164.1,54,7.499999999999999,8.0,6326.0,38.0,0.4074074074074074,0.9585326953748006,7,True
ABSI,cap150,False,2023-06-13,1.7,157.3,24,1.8,0.0,6324.0,17.0,0.4166666666666667,0.19090909090909086,24,True
ACEL,cap150,False,2019-05-15,10.33,581.1,0,,,,,,,40,True
ACU,cap150,False,2021-05-26,43.09,150.1,0,,,,,,,109,True
AEHR,cap150,False,2022-08-08,14.94,402.2,78,14.95,1778.0,26414.0,66.0,0.1282051282051282,0.09616273693943594,115,True
AGNT,cap150,False,2020-03-20,7.33,481.0,0,,,,,,,49,True
AIP,cap150,False,2025-02-13,9.68,388.9,68,9.675,100.0,1033.0,33.0,0.3088235294117647,0.15873015873015872,21,True
ALGT,cap150,False,2008-06-24,21.34,432.4,0,,,,,,,79,True
ARL,cap150,False,2021-08-18,11.53,186.2,0,,,,,,,106,True
ASLE,cap150,False,2024-10-22,5.35,284.7,50,5.375,45.0,12944.0,33.0,0.3,0.20689655172413793,32,True
ATLX,cap150,False,2024-06-06,13.84,204.9,94,13.999999999999998,100.0,3779.0,54.0,0.3617021276595745,0.2627877237851662,34,True
BGS,cap150,False,2026-04-02,4.97,397.5,134,5.05,917.0,46438.0,87.0,0.27611940298507465,0.29999999999999993,84,True
CBIO,cap150,False,2026-06-12,17.92,494.1,0,,,,,,,50,True
CBRL,cap150,False,2008-11-19,12.07,270.0,170,12.175,529.0,29913.0,110.0,0.2,0.10391363022941963,111,True
DAKT,cap150,False,2016-06-08,6.6,290.3,52,6.475,1.0,2381.0,24.0,0.38461538461538464,0.17662337662337657,109,True
DFDV,cap150,False,2026-08-28,4.98,154.4,84,4.95,2727.0,35518.0,63.0,0.16666666666666666,0.2749200813716942,12,False
DMRC,cap150,False,2014-12-05,28.49,219.2,0,,,,,,,106,True
ELMT,cap150,False,2026-07-27,14.71,441.0,0,,,,,,,2,True
ENPH,cap150,False,2014-04-21,7.67,324.0,44,7.25,0.0,5256.0,18.0,0.3181818181818182,0.4179057260360646,58,True
GOLD,cap150,False,2021-03-02,28.87,207.7,656,19.84,140732.0,1397753.0,549.0,0.14176829268292682,0.10126582278481021,84,True
