act_symbol,entry_date,expiration_date,strike,bid,ask,entry_premium,entry_iv,entry_delta,entry_gamma,entry_theta,entry_vega,entry_rho,days_to_expiration,underlying_close_entry,cumulative_return,daily_return,momentum_5,momentum_20,momentum_60,momentum_120,volatility_20,volatility_60,volume_20,relative_strength_20,pct_from_high_252,pct_from_low_252,garch_vol_forecast_1m,realized_vol_21d_asof,hv_current,iv_current,moneyness_strike_over_spot,log_volume_20,pred_pct_return,decile,kelly_frac,rank
NTAP,2026-08-25,2026-09-18,140.0,46.3,50.2,48.25,0.5904,0.9853,0.0018,-0.0962,0.0245,0.089,24,186.6150054931641,6.86084559774832,-0.0013111158963248215,-0.08839333997968812,0.06924314901961015,0.07071554697232241,0.8745856330726547,0.023586729784121043,0.02690374571061514,2433137.4,0.036146450566373556,-0.09882652190908746,0.9829455348302006,0.38447616687963987,0.4249910730345108,0.4111,0.6135,0.7502076246764001,14.704692504652524,1.465881820024586,9,0.021564655156774883,1
MNST,2026-08-25,2026-09-18,45.0,4.0,4.2,4.1,0.3093,0.849,0.0574,-0.0062,0.0282,0.0247,24,48.7400016784668,29.047921662976538,-0.0036794050943521617,0.028704106789621653,-0.4887233741498863,-0.4460733849098567,-0.3829598304012305,0.3612044296689511,0.248776264706421,8888350.95,-0.5218200726031229,-0.5123073795496198,0.07073816318808795,6.262123747373595,6.759226424655775,0.2916,0.2686,0.9232662792435004,16.000252207852444,0.8356340278950134,9,0.021564655156774883,2
MPWR,2026-08-25,2026-09-18,910.0,389.1,404.7,396.9,0.6459,0.9856,0.0001,-0.0806,0.1018,0.5863,24,1301.300048828125,88.22373212394068,0.012661197917804623,-0.02391275266538362,0.015046714858354848,-0.16914074020497583,0.1840549086477521,0.03509157087450265,0.04300540886448695,789672.0,-0.018049983594881747,-0.2299498561751986,0.5799186672201686,0.5227437967012394,0.5384641193163767,0.5167,0.5494,0.6993006730611383,13.579374214702364,0.7940722816050316,9,0.021564655156774883,3
PWR,2026-08-25,2026-09-18,450.0,150.0,159.5,154.75,0.5195,0.9868,0.0003,-0.0432,0.0452,0.2905,24,602.7949829101562,45.45965101849682,-0.022674285356906965,-0.1341019007827825,0.024534295189990507,-0.15305663741584763,0.06054924123243799,0.047500068043668416,0.03550934350476664,1247956.7,-0.008562403263246088,-0.23234299015994253,0.6182415648594799,0.5730769843772962,0.711940119760262,0.6232,0.4424,0.7465224707536599,14.037018933106319,0.7479239723474636,9,0.021564655156774883,4
SWKS,2026-08-25,2026-09-18,55.0,10.19,12.6,11.395,0.4692,0.944,0.0137,-0.0187,0.0186,0.0335,24,65.72000122070312,12.810916131502948,-0.01705054411070317,-0.025359618518960625,0.016079173015157266,-0.1558124276322269,0.16773281176542665,0.030326129649450275,0.032553418521403664,5495711.8,-0.01701752543807933,-0.212179301567419,0.2518095470610119,0.5171717453115047,0.5357054671417606,0.4659,0.4726,0.8368837336946654,15.519478855332602,0.6250316581617512,9,0.021564655156774883,5
STLD,2026-08-25,2026-09-18,160.0,70.09,73.5,71.795,0.5253,0.9965,0.0002,-0.0108,0.0043,0.1045,24,231.47000122070312,25.75465883820771,0.00959565973413512,-0.07341578206288113,-0.10883957063432015,-0.11024406438077117,0.19369809112088188,0.028024979301434026,0.026330840405134295,1229230.25,-0.14193626908755674,-0.18139060253759115,0.7940628860303792,0.35329258962447274,0.28372805872113777,0.4121,0.4053,0.6912342815751853,14.021899531954682,0.5557913781507127,9,0.021564655156774883,6
NXPI,2026-08-25,2026-09-18,180.0,43.2,46.4,44.8,0.5044,0.9581,0.0028,-0.0348,0.0477,0.1121,24,223.72000122070312,17.20923086313101,0.005754355175544568,-0.02117604300660625,-0.13661621859970574,-0.30381205236810604,0.03396961810501864,0.029678945694949367,0.03177303062489428,4041729.95,-0.16971291705294234,-0.3275017519145842,0.21461533338038796,0.5046614600990178,0.48957857060562143,0.4249,0.4116,0.8045771456188546,15.212183611147864,0.4950890235126133,9,0.021564655156774883,7
IT,2026-08-25,2026-09-18,135.0,59.3,63.6,61.45,0.5381,0.9976,0.0002,-0.02,0.004,0.0882,24,196.83999633789065,15.176560700486641,-0.0292928418836379,0.08112258153189633,0.2630903552583783,0.21356350210476305,0.17938887679034798,0.06014946872260351,0.04723860231806539,1616909.7,0.22999365680514172,-0.2546480401853495,0.5655769592169949,0.7823267895667501,0.9790310368622888,0.7988,0.491,0.6858362249116402,14.296027911307593,0.4707498527520255,9,0.021564655156774883,8
FIX,2026-08-25,2026-09-18,1180.0,382.0,399.9,390.95,0.7284,0.9451,0.0003,-0.7464,0.4411,0.7135,24,1557.5849609375,168.56980514286434,-0.03236957573533095,-0.10436265134636524,-0.04226412244921551,-0.14802730855991197,0.08893088243715286,0.04204599785134842,0.04077991392113468,425612.1,-0.07536082090245211,-0.24627272378218248,1.2535156940923375,0.43454091720856125,0.6267305521759966,0.6098,0.5703,0.7575830722516516,12.961285996611062,0.34572419923112174,9,0.021564655156774883,9
TPL,2026-08-25,2026-09-18,270.0,99.0,106.5,102.75,0.5176,0.9934,0.0003,-0.036,0.0161,0.1755,24,374.239990234375,113.02550510858231,0.0021153514567453513,0.024304809609261957,-0.03898110695375534,-0.04773539380566161,-0.30193430366912255,0.03196708433582901,0.03172229639437204,416472.6,-0.07207780540699193,-0.30669333357756895,0.36801960437178294,0.626733269726578,0.5061189591154952,0.4784,0.4489,0.7214621821438892,12.939578353225956,0.31356471497371396,9,0.021564655156774883,10
BLDR,2026-08-25,2026-09-18,50.0,18.3,21.0,19.65,0.7766,0.9617,0.0062,-0.0347,0.0153,0.0308,24,69.22000122070312,3.917305208837507,-0.014240956744745348,0.023661615041888906,-0.06053201772529515,-0.09231577128664548,-0.2788831882365367,0.042038837465547554,0.037031258639114585,2177396.35,-0.09362871617853175,-0.5360900870848229,0.04862898016345928,0.6300456183966849,0.6308692130852659,0.5928,0.5287,0.7223345726414899,14.593640845380621,0.29352989510716543,9,0.021564655156774883,11
NUE,2026-08-25,2026-09-18,200.0,46.6,49.9,48.25,0.4518,0.9706,0.0022,-0.0397,0.0403,0.1264,24,247.3600006103516,7.2752941355985765,0.011118383042385771,-0.0637041586567505,-0.06874480401514904,-0.010559997558593603,0.404895725112671,0.023110032103355056,0.02363003235904456,1554900.9,-0.10184150246838564,-0.09965782411459688,0.8770678623591911,0.3583299327886141,0.3627360421819035,0.39,0.3716,0.8085381610062559,14.256923014788695,0.28156913373154735,9,0.021564655156774883,12
FFIV,2026-08-25,2026-09-18,320.0,61.6,65.59,63.595,0.2695,0.9962,0.0004,-0.0408,0.0113,0.2089,24,381.0400085449219,13.205337535603732,0.005276487850656375,-0.03195972442538231,-0.055569284154541765,-0.006285053032696775,0.33174896913044316,0.02099357274624815,0.020981488328667766,594000.35,-0.08866598260777836,-0.11644947382901552,0.7011473690800493,0.3539216447820375,0.37693081389186434,0.3506,0.3387,0.8398068255928939,13.294636871069471,0.2616569077360642,9,0.021564655156774883,13
EIX,2026-08-25,2026-09-18,60.0,14.1,15.7,14.899999999999999,0.4623,0.9736,0.0071,-0.0202,0.012,0.0379,24,74.9000015258789,1.7155291293551964,0.012572668511941165,0.01642012544964655,-0.06128586707030392,0.07091791408826453,0.013668996407813827,0.026364840164225488,0.01888199365765034,3500866.2,-0.09438256552354052,-0.06817611240097472,0.4370683626407045,0.31265167773542557,0.3540369804585055,0.3663,0.4206,0.8010680744681858,15.068521267197942,0.258469044598193,9,0.021564655156774883,14
EME,2026-08-25,2026-09-18,590.0,147.0,153.2,150.1,0.4641,0.9772,0.0006,-0.2366,0.1108,0.3742,24,733.9500122070312,43.42899578543659,-0.040462820263000965,-0.10985654114633836,0.03985436030561673,-0.11232190113267382,-0.009340347099711654,0.0497729341148361,0.0354678889783206,402074.9,0.006757661852380137,-0.22230462282698676,0.26199317486805784,0.5775169939540571,0.7601676333973569,0.632,0.3829,0.8038694600274411,12.904396155749703,0.2555757347427816,9,0.021564655156774883,15
KEYS,2026-08-25,2026-09-18,220.0,99.0,102.5,100.75,0.6725,0.9857,0.0005,-0.0203,0.0247,0.1417,24,320.3900146484375,11.483513226847673,0.031320449596437205,-0.06043983974065248,0.04987384261562533,-0.05302507207706886,0.06470158298520357,0.031238160178650217,0.03111385214060765,1371554.1,0.016777144162388735,-0.14182777684909723,1.0088407023233177,0.3260640381311153,0.5180053555446801,0.4495,0.3899,0.6866630979164722,14.131455763543688,0.24860679528998442,9,0.021564655156774883,16
HST,2026-08-25,2026-09-18,21.0,1.4,2.7,2.05,0.182,0.9778,0.0488,-0.003,0.003,0.0134,24,23.024999618530277,1.234647589340843,-0.007115175149953745,0.004581131844974662,-0.09599527918095563,0.0019582279021042037,0.14438363111954833,0.018574653076400178,0.016887759925856335,9900967.15,-0.12909197763419222,-0.0984730308082347,0.4554361607265576,0.37133178004829637,0.3416151845991894,0.2935,0.3102,0.9120521323743876,16.108143103252694,0.2450929274871796,9,0.021564655156774883,17
WSM,2026-08-25,2026-09-18,175.0,58.6,62.0,60.3,0.6848,0.9607,0.002,-0.0892,0.0508,0.1083,24,233.7100067138672,10.732951127814607,-0.017075314319048296,-0.03181570361324004,-0.011044348889050148,0.14805717102345795,0.19033315204745516,0.018530207807385807,0.02071076010896517,878193.4,-0.04414104734228674,-0.07176897352068591,0.38585156285415,0.3896988577326443,0.33470404076196814,0.2991,0.4743,0.748791215492342,13.685623260409852,0.23115147328043228,9,0.021564655156774883,18
FANG,2026-08-25,2026-09-18,165.0,34.1,37.7,35.900000000000006,0.3176,0.9911,0.0011,-0.0077,0.0099,0.1072,24,200.84500122070312,11.270763448948776,-0.02312745496913271,-0.04368632923107152,0.055357068978290735,0.048908531972654545,0.13657967058943,0.024072575544517562,0.02381920498549734,1747077.0,0.02226037052505414,-0.0601104453832613,0.4929384006774526,0.37769058961791435,0.3999979919112118,0.369,0.3384,0.8215290348136969,14.373455236087448,0.2240757028363134,9,0.021564655156774883,19
CMI,2026-08-25,2026-09-18,430.0,142.7,146.2,144.45,0.4965,0.9915,0.0003,-0.1106,0.0379,0.2782,24,573.2999877929688,25.381294852248555,0.002939002641845656,-0.07652906678768634,-0.10645260347866159,-0.11340336287539454,-0.001323920441865356,0.02237186459645195,0.02556315781329773,968795.85,-0.13954930193189818,-0.21205628632558038,0.46201509870253016,0.3614018019645644,0.3543355441657214,0.3305,0.3376,0.7500436231568218,13.783810219770647,0.2205797347676881,9,0.021564655156774883,20
MPC,2026-08-25,2026-09-18,270.0,84.3,88.0,86.15,0.4879,0.9876,0.0006,-0.04,0.0272,0.1743,24,356.6600036621094,18.408258253528224,-0.01616458548259947,-0.026077900701243495,0.1653651948627961,0.43369376346307353,0.6155274573530438,0.026804987028064442,0.022937278179843125,2388486.65,0.1322684964095595,-0.026077900701243478,1.1930762648572169,0.33182369758303826,0.3262396104362454,0.3751,0.4143,0.7570234879933191,14.686170941189618,0.2101030527733927,9,0.021564655156774883,21
APH,2026-08-25,2026-09-18,130.0,28.3,30.9,29.6,0.5216,0.9406,0.0053,-0.0488,0.0467,0.0789,24,159.0850067138672,56.93044418571356,0.022725834733240857,-0.003039422122517843,0.10590893266551782,0.06940718330395468,0.1983804648878884,0.02929985568100103,0.02890404402174016,6450764.55,0.07281223421228122,-0.0977484113794284,0.4613724584045216,0.4207911161470157,0.43353030755385247,0.4435,0.4171,0.8171731748034562,15.679709371651343,0.19939923179764585,9,0.021564655156774883,22
CTSH,2026-08-25,2026-09-18,50.0,11.5,14.6,13.05,0.4402,0.9793,0.006,-0.0031,0.0069,0.032,24,63.20000076293945,5.062074689696826,0.016077170220805348,0.0938041207710203,0.2562114696441171,0.1334290291492548,-0.02948405870181503,0.031424860063480435,0.03416377522820856,8823178.85,0.22311477119088052,-0.27104956185098444,0.6318100054201599,0.4268864186246672,0.5278944985621051,0.4725,0.4269,0.7911392309558334,15.99289289021954,0.19805368050699568,9,0.021564655156774883,23
ADM,2026-08-25,2026-09-18,67.5,11.7,12.3,12.0,0.3356,0.9689,0.0088,0.0,0.0123,0.0428,24,79.41999816894531,3.2088888149068815,0.016120706855170752,-0.036749531733748286,-0.04520319935604167,-0.004512416844571154,0.18149355439887582,0.020406181350018673,0.017758431622883278,4039443.0,-0.07829989780927826,-0.0904718455507183,0.4182142530168806,0.3039358176427059,0.3264375177709884,0.3017,0.3008,0.8499118805871964,15.211617616703938,0.15621651258999747,9,0.021564655156774883,24
JCI,2026-08-25,2026-09-18,105.0,35.7,38.0,36.85,0.4885,0.9834,0.001,0.0,0.0069,0.0682,24,141.40499877929688,2.3092415582435035,-0.01108473776471719,-0.055284569090063185,0.008019675005628946,0.054788910595741536,0.010035705566406206,0.019795492090880773,0.022031876765776073,3443180.45,-0.02507702344760765,-0.0862948837010275,0.34236760675141326,0.35909546580260643,0.2816866458270946,0.2731,0.3045,0.7425480068344873,15.051906442064737,0.15306842542367427,9,0.021564655156774883,25
COO,2026-08-25,2026-09-18,50.0,21.6,25.4,23.5,0.6445,0.9958,0.0017,-0.0216,0.004,0.0323,24,73.42500305175781,5.714007849963952,-0.03133245256439243,-0.03082100077391625,0.018942624748969017,0.19955896340445745,-0.10435472011300218,0.014340804731389841,0.02057849334189464,1726210.55,-0.014154073704267578,-0.12921011245847014,0.24491359141461563,0.2807441298555875,0.25255837696314626,0.2534,0.4263,0.6809669447988261,14.361439709742877,0.14176945617764036,9,0.021564655156774883,26
TEL,2026-08-25,2026-09-18,170.0,30.9,33.79,32.345,0.3222,0.9842,0.0023,-0.0314,0.0205,0.1093,24,200.8249969482422,5.427702620222762,-0.007830673806582533,-0.020222492305094764,-0.06283539483764577,-0.058971025246749575,-0.039206808710693486,0.02232828714970793,0.021701536960558543,2072845.95,-0.09593209329088237,-0.19347390783838478,0.025454456206947182,0.3376182815630544,0.37895569988663846,0.3533,0.3385,0.8465081667289327,14.544433558494552,0.13608544482051155,9,0.021564655156774883,27
IVZ,2026-08-25,2026-09-18,29.0,3.6,4.3,3.95,0.2814,0.9597,0.0333,-0.0012,0.0067,0.0182,24,32.790000915527344,2.118217176044588,0.010477662391188636,0.012662131991584058,0.11416923464185791,0.15214342833261263,0.29809978695233075,0.022435522298898773,0.023820783455406086,4425284.55,0.08107253618862131,0.0,0.5166512323174365,0.3717624570900507,0.39676113494412235,0.3525,0.3351,0.8844159557881369,15.302845365415573,0.13463253810942155,9,0.021564655156774883,28
DD,2026-08-25,2026-09-18,120.0,14.7,17.7,16.2,0.2533,0.975,0.0063,-0.0169,0.0196,0.0765,24,135.91000366210938,1.7262266347895114,-0.005560799861111243,-0.020891822977377683,-0.034524404793971675,-0.06436728072632936,-0.05775098109968857,0.017125974099653215,0.016328417656110088,1721018.75,-0.06762110324720827,-0.12083571458887932,0.4691312075322722,0.28780952905605806,0.24296965946111104,0.2431,0.3057,0.8829372140871705,14.358427551013941,0.12407189160918475,9,0.021564655156774883,29
EQIX,2026-08-25,2026-09-18,890.0,184.3,190.7,187.5,0.2912,0.9921,0.0001,0.0,0.0372,0.5805,24,1076.7950439453125,26.633565070922423,0.020465403499549728,-0.007644455424236751,0.04052244669553429,0.008197262801586946,0.11119775072368387,0.018601848715134376,0.01767503986729786,605681.05,0.007425748242297692,-0.03507796074725054,0.48300486732846015,0.36472429117950006,0.3368878248980732,0.3016,0.2935,0.8265268353567948,13.314110457397005,0.11751582725203691,9,0.021564655156774883,30
LYB,2026-08-25,2026-09-18,47.5,14.0,17.39,15.695,0.6406,0.9632,0.0074,-0.0173,0.0125,0.0296,24,63.32500076293945,2.846067450019751,-0.0287576115500614,-0.030690356833300347,0.0876846347509348,-0.049887482172801145,0.022690611039113184,0.02677408218638848,0.0217564072917159,4305892.25,0.0545879362976982,-0.2313061073777581,0.4977531360277052,0.3336222537182869,0.3171982130498988,0.3932,0.4007,0.7500986881598124,15.275495165609826,0.11686546570560608,9,0.021564655156774883,31
JBHT,2026-08-25,2026-09-18,195.0,65.8,69.9,67.85,0.5353,0.9899,0.0008,-0.069,0.0216,0.1256,24,261.989990234375,11.571996347056581,0.008119075388327568,-0.044494737584891975,-0.05629999696605015,-0.052237466353163065,0.11523068396229941,0.02185198093997355,0.02114260965408611,827205.4,-0.08939669541928674,-0.12204689179580211,1.00528130481164,0.33233488208237355,0.3926243963723757,0.3846,0.3426,0.7443032454238192,13.625809519650279,0.1040720027821449,9,0.021564655156774883,32
CSGP,2026-08-25,2026-09-18,25.0,7.0,9.0,8.0,0.6693,0.9541,0.017,-0.0135,0.008,0.0153,24,32.90999984741211,7.5846965061871785,0.0021315375913206758,0.04875719335768558,0.08506429047794084,0.022049660486027856,-0.3086134264204978,0.034122441770634615,0.03231513819809478,6660860.0,0.051967592024704246,-0.6363937789121046,0.21260134810336156,0.4135068971508904,0.4902057143106955,0.54,0.505,0.7596475270711945,15.711759313440005,0.10275018247781476,9,0.021564655156774883,33
BNY,2026-08-25,2026-09-18,115.0,24.3,26.8,25.55,0.3522,0.8415,0.0085,-0.033,0.1878,0.2979,24,163.88999938964844,4.839243545417631,0.010793141769998904,-0.00024396564338236004,0.047287325942407366,0.17542858781284187,0.3843230022347508,0.013470228695442194,0.015070192466135994,2326083.75,0.01419062748917077,-0.0023132944112074024,0.5893133730068741,0.24402899115255094,0.2592998838813958,0.2456,0.2446,0.701690160646029,14.659697047338504,0.10112004370567473,9,0.021564655156774883,34
VEEV,2026-08-25,2026-09-18,195.0,51.6,55.1,53.35,0.6916,0.9219,0.0033,-0.1517,0.0922,0.1141,24,245.6999969482422,6.465789393374794,-0.011108466920406568,0.012152407613768013,0.22117296558134347,0.4093151434513502,0.303586600794594,0.024279897134468566,0.028979937797113588,1722979.55,0.18807626712810688,-0.1976356999255647,0.6225319212310698,0.401140189205272,0.3969584853706946,0.4065,0.5388,0.7936508035084657,14.359566226995975,0.09639240679279748,9,0.021564655156774883,35
ROK,2026-08-25,2026-09-18,350.0,79.0,83.09,81.045,0.3048,0.9945,0.0003,-0.0056,0.0112,0.2286,24,430.4299926757813,7.285544673926043,0.0017221490613477108,-0.007471166213093405,-0.0864656484727706,-0.04573672015801522,0.12281201466722491,0.02259381331156203,0.02143453647896893,865308.85,-0.1195623469260072,-0.1305849471801412,0.2896778806764983,0.3441086110083819,0.3536852515697186,0.3175,0.2867,0.8131403618605065,13.6708429298653,0.09358280687765697,9,0.021564655156774883,36
FDS,2026-08-25,2026-09-18,210.0,83.2,90.5,86.85,0.5944,0.9867,0.0005,0.0,0.0192,0.1358,24,298.2650146484375,7.25705658690577,-0.023074851680230823,0.04504050601375176,0.05070990164109257,0.2150772524756137,0.3232698435006016,0.02645639488935814,0.03533033346105817,753553.35,0.017613203187855975,-0.22052784684187124,0.5693203119003787,0.34085437487794634,0.4939586242458725,0.4638,0.474,0.7040718478079813,13.532556424507161,0.0845413700249138,9,0.021564655156774883,37
TRGP,2026-08-25,2026-09-18,240.0,47.2,50.3,48.75,0.3349,0.9832,0.0014,-0.0101,0.0264,0.1546,24,289.9100036621094,12.029460542457857,-0.014782865354284302,-0.026396163621450808,0.10800691926178829,0.13658993741904601,0.19279983551521562,0.02497993183913977,0.02093167190053866,1283874.55,0.0749102208085517,-0.04082711774322787,0.981613107414259,0.4076344568951298,0.3527750199542202,0.3765,0.3114,0.8278431132708357,14.065393834858629,0.07930286640754325,9,0.021564655156774883,38
EPAM,2026-08-25,2026-09-18,95.0,15.7,18.5,17.1,0.4204,0.9409,0.0097,-0.0362,0.0334,0.0578,24,111.83000183105467,8.133091042258522,0.005123132157828447,0.11551124021002157,0.11384462282333319,0.09145034970044219,-0.20631648917448986,0.04622961068225689,0.04092063823964868,1700631.2,0.08074792437009659,-0.4948960934328625,0.47067333619954,0.6178446783184924,0.7413690063409633,0.6728,0.4733,0.8495036970804998,14.346510622248282,0.07906878135154516,9,0.021564655156774883,39
APTV,2026-08-25,2026-09-18,42.5,3.7,5.8,4.75,0.3927,0.8474,0.0503,-0.0285,0.0283,0.0228,24,46.43999862670898,2.607196064823713,-0.019011439015166887,-0.044444442700184106,-0.2181818613846941,-0.31645574097880846,-0.3672162554444812,0.043977016686002686,0.03426556907688194,4512319.05,-0.2512785598379307,-0.47626029563882916,0.003023744966638547,0.36054593229148396,0.33308148627621237,0.6384,0.4232,0.915159372454353,15.322322002711777,0.06101403336743805,8,0.005778334160703732,40
