decile,n,mean_realized,p_win
0,4781,-0.996035676074168,0.0010458063166701526
1,4780,-0.4920300377614042,0.034518828451882845
2,4780,-0.10679303088986433,0.13138075313807532
3,4781,0.056699210730239064,0.2445095168374817
4,4780,0.07287928804401893,0.34309623430962344
5,4780,0.09581494497134783,0.40460251046025103
6,4781,0.0456286137960708,0.43589207278811964
7,4780,0.02842580830877522,0.44686192468619246
8,4780,0.010779080903383075,0.45481171548117155
9,4781,0.03649117002825306,0.49299309767830995
