ticker,src,n,med_o_c,min_o_c,max_o_c,frac_close_outside_lowhigh
A,local,5201,0.9994170858114906,0.9134752035928176,1.098418286945563,0.0
AA,local,5201,1.000337275851956,0.8557617416261055,1.2086677038326006,0.0
AADX,local,66,1.0096597812930226,0.8379357220924851,1.1122580497495589,0.0
AAL,local,5201,1.001363292705204,0.6885246066400523,1.4340344115961692,0.0
AAMI,local,2994,0.9993138643167861,0.8182973508090418,1.2305630372967193,0.0
AAOI,local,3255,1.0016407266982894,0.7024495619316301,1.3720929394418204,0.0
AAON,local,5201,0.9995636846306332,0.8188730905083986,1.2031504489327227,0.0
AAP,local,5201,1.0002660897226932,0.8720987578968943,1.1735121242139581,0.0
AAPL,local,5201,0.9994613189394632,0.8647221104872884,1.1364240364474263,0.0
AB,local,5201,1.0,0.7512953664866775,1.290060840940353,0.0
ABBV,local,3440,0.9992898783463677,0.9244854932066257,1.1162212669805198,0.0
ABCB,local,5201,1.0,0.746533128471026,1.2974359702803246,0.0
ABG,local,5201,0.999570423208159,0.7127659709381272,1.450000047683716,0.0
ABM,local,5201,0.999489002093113,0.835503732206686,1.1655292983471035,0.0
ABNB,local,1440,0.999322068000976,0.8714968976499616,1.105905092646502,0.0
ABT,local,5201,0.9994010061921164,0.9314105522766226,1.1014926003656325,0.0
ACA,local,1968,0.9997444580264734,0.8941176585367757,1.1287752827361142,0.0
ACAD,local,5201,1.000833699789683,0.6666666503142269,1.2763157803926444,0.0
ACGL,local,5193,0.9992879023596165,0.883046872112178,1.1041560106304835,0.0
ACHC,local,5201,1.0,0.7249999751647324,1.2745097810055184,0.0
ACI,local,1556,1.000472945423393,0.8920713120567022,1.1279863486783037,0.0
ACIW,local,5201,0.9994518768582535,0.7931034801689507,1.3832418123599148,0.0
ACLS,local,5201,1.0,0.7777778287219205,1.72727281063587,0.0
ACM,local,4862,0.9993011720063875,0.8620689788581426,1.1611151503094403,0.0
ACMR,local,2221,1.001817984856867,0.7309090457474929,1.3504128502949808,0.0
ACN,local,5193,0.9988538420120789,0.8952958863963805,1.086649575614927,0.0
ACT,local,1248,0.9994610120353127,0.9395500981113674,1.088618547680815,0.0
AD,local,5201,0.9993496077758627,0.759774907991328,1.1755601428608056,0.0
ADBE,local,5201,0.9991086941477325,0.8921811105290515,1.1495759090549131,0.0
ADC,local,5201,0.9998277636233487,0.8008000183105469,1.4189887095388398,0.0
