ticker,n,incoherence_before,incoherence_after,f_min,f_max
ABKFQ,1228,0.0,0.0,1.0,1.0
ABMD,4273,0.0,0.0,1.0,1.0
ACAS,2770,0.31227436823104693,0.0,0.5665758140869316,1.0178699070764834
ACS,1031,0.0,0.0,1.0,1.0
ADCT,1581,0.0,0.0,1.0,1.0
ADT,2165,0.9427251732101617,0.0,0.7548992030004689,1.0037285607755406
AET,3250,0.9323076923076923,0.0,0.890944540727903,1.0005269965984764
AGN,3612,0.9604097452934662,0.0,0.9351567644228334,1.0023162322621868
AIV,5197,0.9882624591110256,0.0,0.016141834104752478,0.9991326973113616
AKS,3572,0.35526315789473684,0.0,0.9223080048760667,1.0144230769230769
ALTR,1858,0.0,0.0,1.0,1.0
ALXN,3914,0.0,0.0,1.0,1.0
ANDV,3208,0.9501246882793017,0.0,0.8280790248003362,1.0030949529497306
ANRZQ,2415,0.0,0.0,1.0,1.0
ANSS,4915,0.0,0.0,1.0,1.0
APC,138,0.7753623188405797,0.0,0.9549163179916319,0.9991898460707535
APCC,281,0.3594306049822064,0.0,0.9787917737789202,1.001960337360383
APOL,2790,0.0,0.0,1.0,1.0
ARG,2614,0.9586840091813313,0.0,0.8499853758408892,1.0003885964602395
ARNC,851,0.0,0.0,1.0,1.0
ASN,442,0.665158371040724,0.0,0.9515938864628821,0.9999154762910996
AT,2881,0.48385977091287746,0.0,0.6447494972457812,1.0163043478260871
ATVI,4475,0.9262569832402234,0.0,0.8656934306569343,1.0001063692502168
AVB,5186,0.9853451600462785,0.0,0.4817463821437331,0.9997136276589168
AVP,3525,0.6873758865248227,0.0,0.7473501303214596,1.0289655172413794
AW,738,0.0,0.0,1.0,1.0
AYE,1297,0.8696993060909792,0.0,0.9310858765081618,1.0029910269192421
BBBY,30,0.0,0.0,1.0,1.0
BCR,3019,0.8062272275587943,0.0,0.9217687567959406,1.0001131310591893
BDK,1055,0.7402843601895734,0.0,0.9070031832651204,1.0077607928775407
BJS,1087,0.5906163753449862,0.0,0.9547780829839527,1.0053182214472538
BLS,251,0.5418326693227091,0.0,0.9732939874585024,1.0028074115665357
BMC,1935,0.0,0.0,1.0,1.0
BMET,435,0.12873563218390804,0.12873563218390804,1.0,1.0
BMS,3381,0.9763383614315291,0.0,0.6834111745372773,1.00078664452408
BNI,1036,0.7673745173745173,0.0,0.93753259779338,1.0005592556815295
BOL,458,0.4170305676855895,0.0,0.9801121337141648,1.001354961832061
BRCM,2536,0.8939274447949527,0.0,0.9174173507876636,1.0013867221355521
BRL,749,0.0,0.0,1.0,1.0
BTUUQ,2832,0.7175141242937854,0.0,0.8447953393149124,1.0382513661202184
BUD,4914,0.9688644688644689,0.0,0.6446770601336304,1.0023829837309879
BXLT,233,0.04721030042918455,0.04721030042918455,1.0,1.0
CA,105,0.0,0.0,1.0,1.0
CAM,225,0.0,0.0,1.0,1.0
CBE,1741,0.0,0.0,1.0,1.0
CBSS,422,0.7843601895734598,0.0,0.9594773910380728,1.0007385524372232
CCEP,2578,0.952288595810706,0.0,0.7589791555318012,1.003126604134584
CCTYQ,767,0.5658409387222947,0.0,0.9268292682926829,1.0142857142857142
CCU,5197,0.9774870117375409,0.0,0.3460446247464503,1.0004235493434985
CELG,3496,0.0,0.0,1.0,1.0
CEPH,1457,0.0,0.0,1.0,1.0
CERN,4136,0.8986943907156673,0.0,0.9472972972972972,1.0005065991201174
CFC,627,0.8532695374800638,0.0,0.9072713972201902,1.0010449320794148
CFN,1400,0.0,0.0,1.0,1.0
CITGQ,992,0.6401209677419355,0.0,0.8863328169420103,1.0303030303030303
CMA,5051,0.9788160760245496,0.0,0.5204033855573563,1.0001774395571374
CMCSK,2504,0.9325079872204473,0.0,0.8572035398230089,1.0023347556557443
CMVT,1784,0.9641255605381166,0.0,0.5278021978021977,1.004243281471004
CMX,306,0.16013071895424835,0.16013071895424835,1.0,1.0
COL,3248,0.9575123152709359,0.0,0.812808091841474,1.000296048886021
COTY,3324,0.48826714801444043,0.0,0.8383561643835618,1.0218140068886337
COV,1918,0.935349322210636,0.0,0.8008256999096892,0.9998737655729586
CPGX,252,0.376984126984127,0.0,0.9739737274220033,1.0037947122861586
CPRI,3697,0.0,0.0,1.0,1.0
CPWR,2254,0.9778172138420586,0.0,0.8909458775923115,1.0004909180166912
CTLT,2614,0.0,0.0,1.0,1.0
CTRA,5117,0.9745944889583741,0.0,0.6990537343697195,1.0049224417722764
CTXS,4215,0.9027283511269276,0.0,0.7591225626740947,1.0071846453864313
CVC,2634,0.8834472285497342,0.0,0.310566672900692,1.0073349633251834
CVG,3212,0.9601494396014943,0.0,0.8909448818897638,0.9991850040749797
CVH,1847,0.5641580942068218,0.0,0.9682119205298013,1.0012257405515832
CXO,3388,0.6109799291617474,0.0,0.9637063778580025,1.0075608515287828
DAY,1954,0.0,0.0,1.0,1.0
DFS,4511,0.9536688095765905,0.0,0.7242854598609589,1.0073850880302493
DISCK,3414,0.0,0.0,1.0,1.0
DISH,4529,0.37668359461249723,0.0,0.7270725388601036,1.0104074792732405
DJ,491,0.7841140529531568,0.0,0.9491001454933596,1.0009179671200867
DNB,1294,0.7998454404945904,0.0,0.9457767931320964,1.0011173184357545
DO,610,0.0,0.0,1.0,1.0
DRE,4216,0.9639468690702088,0.0,0.45840978593272175,0.9997137404580153
DTV,746,0.9731903485254692,0.0,0.8369267186113029,1.000695652173913
