timepoint,ticker,buy_proba,realized_fwd_return_pct
2013-01-02,CORT,0.527,15.54
2013-01-02,UI,0.524,9.12
2013-01-02,TGTX,0.516,5.14
2013-01-02,DECK,0.504,21.28
2013-01-02,ARCB,0.478,14.3
2015-01-02,EXEL,0.573,81.82
2015-01-02,LEU,0.565,-3.17
2015-01-02,CLF,0.524,-4.41
2015-01-02,CRK,0.491,-24.47
2015-01-02,SLS,0.488,18.59
2017-01-03,SLS,0.537,-64.14
2017-01-03,SRPT,0.496,16.87
2017-01-03,CDNA,0.488,-4.35
2017-01-03,MGNI,0.485,16.36
2017-01-03,CNX,0.469,-11.03
2019-01-02,TGTX,0.55,67.29
2019-01-02,SPB,0.53,27.18
2019-01-02,UNFI,0.525,39.1
2019-01-02,MHK,0.516,15.92
2019-01-02,MDGL,0.514,26.44
2021-01-04,ARLP,0.508,28.82
2021-01-04,CCL,0.507,40.68
2021-01-04,VNOM,0.502,27.91
2021-01-04,PAA,0.501,16.22
2021-01-04,EPR,0.5,51.96
2023-01-03,IRON,0.61,35.77
2023-01-03,CIFR,0.564,148.44
2023-01-03,CVNA,0.551,104.54
2023-01-03,WGS,0.535,62.5
2023-01-03,TSLA,0.531,76.6
2025-01-02,ZETA,0.526,-10.03
2025-01-02,CE,0.503,-29.54
2025-01-02,SMMT,0.481,4.03
2025-01-02,TMDX,0.481,3.92
2025-01-02,AMLX,0.472,-23.02
2026-06-01,KRMN,0.496,-15.02
2026-06-01,GPCR,0.495,22.83
2026-06-01,WGS,0.49,22.47
2026-06-01,GPGI,0.478,11.82
2026-06-01,VRDN,0.474,17.22
