ticker,close,market_cap,eligible_today,sector,volatility_60,q75_score,composite_score,blend_score,vol_quintile,rank_in_quintile,n_in_quintile,quintile_cutoff_rank,is_pick,weight,status
A,146.85,41401252209.9,True,Healthcare,0.018051017777612203,0.16467428,-0.020921362190916067,-0.171875,1.0,273.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AA,51.74,13654674684.300001,True,Basic Materials,0.031669636795901276,0.3647835,-0.05609294781810354,0.09525240384615385,3.0,146.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AADX,12.39,2135955688.02,True,Industrials,0.0522194916853853,0.34455666,-0.03368593449342183,0.10606971153846151,4.0,114.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAL,12.91,8546032067.41,True,Industrials,0.029540799378953816,0.25582668,0.1216465746377801,0.21694711538461536,3.0,70.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAMI,92.15,3270415295.2000003,True,Financial Services,0.025093955474968146,0.15014721,0.06773869618373915,-0.03155048076923078,2.0,233.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAOI,111.55,9433698387.35,True,Technology,0.08418679157805235,0.38021377,-0.2160859976961732,-0.0090144230769231,4.0,207.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAON,79.4,6546818936.6,True,Basic Materials,0.033994148943177135,0.27766427,-0.18842239505187805,-0.1475360576923077,3.0,305.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAP,42.56,2570624000.0,True,Consumer Cyclical,0.04523530703673314,0.306858,-0.19345882141283244,-0.10787259615384615,4.0,278.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAPL,316.22,4614971599600.0,True,Technology,0.019987895054847424,0.14649488,0.11113290501152459,0.02824519230769232,1.0,142.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAT,21.83,1340453969.79,False,,,,,,,,,,,,INELIGIBLE_TODAY
AB,36.72,3417722041.68,True,Financial Services,0.009278504875089744,0.04314614,0.2522143465600717,0.002103365384615391,0.0,56.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABBV,248.78,439623438162.3,True,Healthcare,0.018757720829042573,0.12616314,0.16936390755584496,0.060096153846153855,1.0,111.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABCB,84.99,5703444242.61,True,Financial Services,0.011977925467621761,0.108275,-0.06185672316903864,-0.29837740384615385,0.0,257.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABCL,11.44,3507635171.04,True,Healthcare,0.06969086343195352,0.40808037,-0.04353807112931823,0.1505408653846154,4.0,84.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABG,212.91,3822142648.47,True,Consumer Cyclical,0.02337778814010625,0.2515314,0.009386819831063887,0.02163461538461542,2.0,192.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABM,50.6,2964194703.8,True,Industrials,0.01649178935834167,0.20357504,0.10708856168367911,0.09915865384615385,1.0,72.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABNB,174.54,104512052936.28,True,Industrials,0.0305344612807616,0.30251172,0.15024797407775686,0.3161057692307692,3.0,25.0,331.0,33.0,True,0.004468104780926187,PICK
ABR,5.01,934655795.43,False,,,,,,,,,,,,INELIGIBLE_TODAY
ABSI,8.91,1529080829.1000001,False,,,,,,,,,,,,INELIGIBLE_TODAY
ABT,105.52,182590045393.91998,True,Healthcare,0.0209633132028587,0.20292571,-0.02832161330427421,-0.13131009615384615,1.0,256.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACA,145.65,7152406730.85,True,Industrials,0.010372020421280851,0.021788716,0.1643647011245252,-0.02824519230769232,0.0,75.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACAD,27.58,4752186186.44,True,Healthcare,0.02290046805291625,0.24115929,-0.08623630137768487,-0.1361177884615385,2.0,282.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACDC,5.42,987105370.04,False,,,,,,,,,,,,INELIGIBLE_TODAY
ACGL,95.71,32659039649.46,True,Financial Services,0.014678415142588113,0.14778966,0.01196622689993494,-0.13912259615384615,0.0,157.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACH,1.1,84595174.4,False,,,,,,,,,,,,INELIGIBLE_TODAY
ACHC,27.5,2560257562.5,True,Healthcare,0.039656537165815894,0.353264,-0.012959831149960958,0.14843749999999997,4.0,86.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACHR,5.83,4489238754.0,False,,,,,,,,,,,,INELIGIBLE_TODAY
ACI,12.14,5891853791.62,True,Consumer Defensive,0.035734513716368856,0.2815129,0.0540922848122376,0.16826923076923078,3.0,97.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACIW,51.98,5247653427.179999,True,Technology,0.022498074546096477,0.2476588,0.039776065510476154,0.07572115384615385,2.0,142.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACLS,119.17,3680147044.13,True,Technology,0.051578526559371556,0.3547018,-0.06892954468807648,0.06400240384615383,4.0,141.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACM,66.04,8499111907.000001,True,Industrials,0.026483504668142283,0.31538445,-0.09496079965720253,-0.02944711538461539,2.0,228.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACMR,76.91,5356719664.36,True,Technology,0.06574738669226447,0.38165224,-0.22912833803771968,-0.009615384615384609,4.0,208.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACN,179.03,119558182383.49,True,Technology,0.03797840105875927,0.32143247,-0.01964817421644009,0.0832331730769231,4.0,126.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACT,49.3,6777944980.299999,True,Financial Services,0.010789478726119819,0.038645178,0.08546419125753152,-0.10456730769230765,0.0,125.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACTG,4.56,444995830.79999995,False,,,,,,,,,,,,INELIGIBLE_TODAY
ACVA,7.03,1193750099.4,False,,,,,,,,,,,,INELIGIBLE_TODAY
AD,38.46,3326790000.0,True,Communication Services,0.014478200894617814,0.106534384,-0.14296642787210478,-0.3810096153846154,0.0,307.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ADBE,257.26,102260850000.0,True,Technology,0.031568843411108306,0.37190863,0.08685327135189531,0.35456730769230765,3.0,9.0,331.0,33.0,True,0.0043217032266557355,PICK
ADC,72.78,9052326181.8,True,Real Estate,0.010731161713549547,0.06421281,-0.07525730645694967,-0.37049278846153844,0.0,304.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ADCT,1.3,165968003.5,False,,,,,,,,,,,,INELIGIBLE_TODAY
ADEA,27.2,2999620080.0,True,Technology,0.03888660770163613,0.3943501,0.012584308511626816,0.234375,4.0,49.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ADI,363.2,175994176888.0,True,Technology,0.024748965680150285,0.2183676,0.05034939889811501,0.0441706730769231,2.0,166.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ADIG,20.89,1586035606.22,False,,,,,,,,,,,,INELIGIBLE_TODAY
ADM,84.5,40725584763.5,True,Consumer Defensive,0.01734863004032372,0.2452315,0.121703682255701,0.19561298076923078,1.0,22.0,331.0,33.0,True,0.007864089101817672,PICK
ADMA,9.54,2136813847.1999998,False,,,,,,,,,,,,INELIGIBLE_TODAY
ADNT,18.78,1447880382.96,False,,,,,,,,,,,,INELIGIBLE_TODAY
ADP,267.96,106450523006.51999,True,Industrials,0.01930420747225088,0.14606194,-0.044575316234773704,-0.234375,1.0,294.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ADPT,24.34,3884562794.28,True,Healthcare,0.0362703681486087,0.26163644,-0.06663427001912334,-0.07752403846153849,3.0,284.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ADSK,212.21,44351890000.0,True,Technology,0.028882343558707658,0.3390306,-0.07713509849124685,0.033653846153846145,3.0,193.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ADT,7.22,5274637770.559999,False,,,,,,,,,,,,INELIGIBLE_TODAY
ADTN,7.58,617629065.0600001,False,,,,,,,,,,,,INELIGIBLE_TODAY
ADUS,119.32,2228217476.0,True,Healthcare,0.015073833333022202,0.20000254,0.048880268626891224,0.007211538461538464,0.0,50.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ADV,30.88,395950462.4,False,,,,,,,,,,,,INELIGIBLE_TODAY
AEE,106.73,29547480179.23,True,Utilities,0.01210985600796899,0.10483983,-0.08251463780712857,-0.328125,0.0,278.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AEHR,90.79,2961610655.5,True,Technology,0.09361146727803957,0.35139364,-0.0996261477404699,0.02824519230769229,4.0,163.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AEIS,288.72,11563363614.240002,True,Industrials,0.04971434706526599,0.33223337,-0.09052025714664963,0.008112980769230782,4.0,183.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AEO,17.22,2885612794.2599998,True,Consumer Cyclical,0.02918107669953131,0.30850714,0.07037537476805428,0.23106971153846156,3.0,60.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AEP,125.42,68278315887.840004,True,Utilities,0.012210673437787648,0.102613464,-0.026496242575699238,-0.2512019230769231,0.0,227.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AES,14.83,10580294882.9,True,Utilities,0.002520533787637981,0.026385836,0.04471373245435327,-0.1787860576923077,0.0,179.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AESI,13.99,1748798279.49,False,,,,,,,,,,,,INELIGIBLE_TODAY
AEVA,16.25,1132718567.5,False,,,,,,,,,,,,INELIGIBLE_TODAY
AFG,140.88,11681976130.08,True,Financial Services,0.011592708621371548,0.13517721,-0.013102563726736707,-0.19651442307692307,0.0,193.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AFL,115.16,57734694197.68,True,Financial Services,0.011983360572002198,0.10881758,0.05414450231893301,-0.09314903846153846,0.0,117.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AFRM,72.08,24321324132.48,True,Financial Services,0.033863804230159576,0.34860426,-0.27275412298294516,-0.05769230769230768,3.0,272.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AGCO,127.31,8915739418.99,True,Industrials,0.026721086428602835,0.32048833,0.05335293970305082,0.22055288461538464,2.0,43.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AGIO,33.55,2002998141.1,True,Healthcare,0.036577727081450254,0.41281578,-0.1329761108703956,0.05168269230769232,3.0,180.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AGL,91.37,1534212857.7,False,,,,,,,,,,,,INELIGIBLE_TODAY
AGM,226.09,2453802248.9,True,Financial Services,0.015594118286806076,0.13239294,-0.032466248199751,-0.22686298076923075,1.0,292.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AGNC,10.68,12660941853.96,True,Real Estate,0.0128945976699547,0.05554485,-0.15011582655768915,-0.4417067307692307,0.0,328.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AGNT,3.98,665129389.26,False,,,,,,,,,,,,INELIGIBLE_TODAY
AGO,73.0,3210482184.0,True,Financial Services,0.016535222246731866,0.17635308,-0.09831155399413154,-0.2626201923076923,1.0,306.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AGX,436.78,6127954388.759999,True,Industrials,0.048992288047566904,0.32045284,-0.1375595362883711,-0.06009615384615383,4.0,249.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AGYS,108.025,3046930248.7000003,True,Technology,0.03195264221046917,0.3815779,-0.01525895338803019,0.1784855769230769,3.0,88.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AHCO,6.19,843970573.24,False,,,,,,,,,,,,INELIGIBLE_TODAY
AHR,54.6,11902733115.0,True,Real Estate,0.017152183891653648,0.1257522,-0.10781115307643609,-0.33203125,1.0,325.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AI,10.51,1633771901.27,False,,,,,,,,,,,,INELIGIBLE_TODAY
AIG,74.68,39049661860.920006,True,Financial Services,0.013538638459096917,0.118299924,0.05646786597246457,-0.08052884615384615,0.0,110.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AIN,62.34,1770456000.0,False,,,,,,,,,,,,INELIGIBLE_TODAY
AIP,22.72,1116735757.44,False,,,,,,,,,,,,INELIGIBLE_TODAY
AIR,130.73,5215142864.559999,True,Industrials,0.029592322480280632,0.3408883,-0.05532864140134089,0.06490384615384615,3.0,172.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AIRE,1.56,9179469.0,False,,,,,,,,,,,,INELIGIBLE_TODAY
AIT,326.66,11988048300.960001,True,Industrials,0.0161933829165068,0.19069259,0.24771188049631565,0.16135817307692307,1.0,32.0,331.0,33.0,True,0.008425118650933937,PICK
AIV,2.48,356763333.84,False,,,,,,,,,,,,INELIGIBLE_TODAY
AIZ,281.01,13860471764.67,True,Financial Services,0.013891691510676336,0.13178295,0.15780846835384857,0.05769230769230768,0.0,26.0,331.0,33.0,True,0.00982106263493711,PICK
AJG,251.45,64446635000.0,True,Financial Services,0.021790542625419004,0.1811825,-0.12193545930336591,-0.2782451923076923,2.0,326.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AKAM,105.61,15177911076.49,True,Technology,0.032138388941842254,0.34443012,-0.11324058201954632,0.004206730769230782,3.0,222.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AKR,20.37,2797467547.1400003,True,Real Estate,0.012921810068400116,0.08416327,-0.015538221087895623,-0.2605168269230769,0.0,232.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALAB,288.85,50111172290.4,True,Technology,0.06662152539406406,0.23914495,-0.05868701718635015,-0.10727163461538461,4.0,276.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALB,129.57,15289915235.49,True,Basic Materials,0.02810726995722377,0.36846116,0.006785826095357778,0.19981971153846154,3.0,75.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALEC,2.47,275792589.93,False,,,,,,,,,,,,INELIGIBLE_TODAY
ALG,172.53,2099856591.45,True,Industrials,0.016844614956360963,0.19369203,-0.04784116313052727,-0.17908653846153844,1.0,275.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALGM,36.47,6798082617.62,True,Technology,0.05318524036964396,0.34513012,-0.011229284106234928,0.1394230769230769,4.0,91.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALGN,153.49,10903906883.480001,True,Healthcare,0.026052798257469492,0.27998614,0.03735263391568664,0.12890625,2.0,103.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALGT,76.06,2079309645.3,True,Industrials,0.03402551155553579,0.33925396,-0.1328103871946081,-0.020132211538461564,3.0,245.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALH,22.23,4418637004.08,True,Consumer Cyclical,0.01900523452759079,0.2117116,-0.08088894218565558,-0.18990384615384617,1.0,281.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALHC,13.46,2792077105.54,True,Healthcare,0.044462610301890554,0.3282895,-0.08997209129412677,0.0006009615384615641,4.0,194.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALIT,13.45,362330800.84999996,False,,,,,,,,,,,,INELIGIBLE_TODAY
ALK,40.74,4546711108.8,True,Industrials,0.02821446934358217,0.30306962,-0.05505121224232293,-2.7755575615628914e-17,3.0,227.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALKS,45.49,7631551243.280001,True,Healthcare,0.022310154464132072,0.24410392,-0.009172557299821638,-0.02554086538461539,2.0,225.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALKT,19.38,2072535572.3999999,True,Technology,0.026225273349856134,0.28366956,-0.019300840997657356,0.032752403846153855,2.0,180.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALL,253.46,64089376007.0,True,Financial Services,0.01854645956978352,0.18293771,0.094025632709686,0.05679086538461536,1.0,115.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALLE,156.05,13269990455.300001,True,Industrials,0.020711871212905197,0.1573845,0.06613201775295269,-0.024038461538461564,1.0,180.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALLO,1.86,642613038.6600001,False,,,,,,,,,,,,INELIGIBLE_TODAY
ALLY,42.28,12861563020.04,True,Financial Services,0.015075293685459167,0.20487753,-0.0057327712418163085,-0.09435096153846154,0.0,118.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALMR,29.95,2078313341.7,True,Healthcare,0.05711746316036715,0.38365847,-0.1720008820173342,0.01081730769230771,4.0,179.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALMS,10.58,1369424828.6200001,False,,,,,,,,,,,,INELIGIBLE_TODAY
ALNY,260.1,34803751591.8,True,Healthcare,0.04618556647593905,0.2757096,-0.1022287448511666,-0.09194711538461539,4.0,270.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALRM,56.01,2749543670.2799997,True,Technology,0.01800092657025226,0.26122305,0.07511336839930308,0.16766826923076922,1.0,30.0,331.0,33.0,True,0.007579119435831605,PICK
ALSN,130.56,10781388641.28,True,Consumer Cyclical,0.022698497225492067,0.22660853,0.0410664533312758,0.04056490384615383,2.0,175.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ALV,120.25,8806775344.25,True,Consumer Cyclical,0.01863529259884093,0.26135728,0.12264310031510835,0.22866586538461542,1.0,15.0,331.0,33.0,True,0.007321117804185276,PICK
ALX,261.49,1335505262.1000001,False,,,,,,,,,,,,INELIGIBLE_TODAY
ALXO,2.0,276553994.0,False,,,,,,,,,,,,INELIGIBLE_TODAY
AM,22.9,10870034600.0,True,Energy,0.014574055501980088,0.07280539,0.12654558181426012,-0.04296875,0.0,88.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AMAT,472.79,375204935075.97003,True,Technology,0.0503118836248309,0.36490983,-0.06539946429797358,0.08353365384615385,4.0,125.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AMBA,63.48,2802068839.08,True,Technology,0.0594904050462494,0.3302206,-0.1139710205671596,-0.021033653846153827,4.0,219.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AMC,2.56,2285067873.28,False,,,,,,,,,,,,INELIGIBLE_TODAY
AMCR,44.34,20500407894.600002,True,Consumer Cyclical,0.018456371787748168,0.22287968,-0.02749480198738819,-0.09044471153846154,1.0,229.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AMCX,12.08,498299649.68,False,,,,,,,,,,,,INELIGIBLE_TODAY
AMD,505.74,825607927741.08,True,Technology,0.04524673823101014,0.37394616,0.020058087608485695,0.23407451923076922,4.0,50.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AME,237.76,54509153373.439995,True,Industrials,0.014435136462584933,0.09447997,0.11410924453080876,-0.02944711538461542,0.0,76.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AMG,360.22,9315265065.26,True,Financial Services,0.019584305603002776,0.19782546,0.14110048614183782,0.12650240384615383,1.0,50.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AMGN,393.17,212560285405.85,True,Healthcare,0.020756736947675165,0.330363,0.013949429941647865,0.15835336538461536,1.0,34.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AMH,32.3,11622025113.699999,True,Real Estate,0.01208804730396488,0.091669075,0.11293715994175726,-0.034855769230769246,0.0,83.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AMKR,50.72,12601509379.84,True,Technology,0.06168238541475808,0.35388586,-0.02817758205764979,0.12740384615384617,4.0,104.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AMLX,33.88,3775012866.2400002,True,Healthcare,0.08927254110202584,0.36858705,-0.17902991355206763,-0.00871394230769229,4.0,206.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AMN,33.73,1306362596.4299998,False,,,,,,,,,,,,INELIGIBLE_TODAY
