ticker,sector,close,market_cap,volatility_60,composite_score,weight
SLAB,Technology,220.0,7340687420.0,0.0024282829224226686,0.23832617976320916,0.031400568749955095
RAMP,Technology,37.74,2294402620.6800003,0.003182869375610349,0.26337912152300325,0.0239562029890885
PEN,Healthcare,319.26,12575466867.72,0.004090151994023304,0.20157397501307267,0.018642208152971747
NATH,Consumer Cyclical,98.3,402800076.3,0.007551781833319836,0.21010533142558688,0.01009688395835912
WLKP,Basic Materials,21.74,766245409.4599999,0.007849022371110792,0.21142515502550488,0.009714517457679775
AB,Financial Services,36.72,3417722041.68,0.009278504875089744,0.18758714768757828,0.00821786116150932
SYY,Consumer Defensive,79.84,38251025917.44,0.011061671346800203,0.24640708362076447,0.006893123331849077
UNF,Industrials,275.66,4985083129.18,0.011855752494812528,0.22785945513134734,0.006431431904743099
PG,Consumer Defensive,145.58,338390964874.80005,0.011946681868436074,0.17331274369422894,0.006382480565698416
HESM,Energy,40.97,5258535594.57,0.012582638387507,0.261860246276629,0.006059894793255852
HSIC,Healthcare,88.86,9903139722.12,0.012790364605143633,0.2373069542843891,0.00596147703398629
COST,Consumer Defensive,910.18,403645537824.72,0.01293850990396376,0.23968974874325025,0.005893218416636647
SEIC,Financial Services,108.6,13034083165.199999,0.013010760073245269,0.26705569994569944,0.005860492732217144
EBF,Industrials,21.27,538094245.4399999,0.013102062184966108,0.1870841599834186,0.005819653713548005
V,Financial Services,368.64,657811734773.76,0.01310920720728017,0.20255101667509726,0.005816481778358794
ARLP,Basic Materials,26.66,3430043634.66,0.013129940689941572,0.16847260294203995,0.00580729697494271
BRC,Industrials,88.62,4156208344.6800003,0.0135225747941922,0.2150472558262499,0.005638679468249139
CL,Consumer Defensive,88.41,70478049811.89,0.013566591739665141,0.372789221124977,0.005620384715119092
DCI,Industrials,90.99,10546746985.439999,0.013644716163948155,0.20463958882651262,0.0055882045426008916
VLGEA,Consumer Defensive,42.9,635327163.9,0.013661116884583801,0.27387221330560313,0.005581495678140367
SBUX,Consumer Cyclical,102.01,116291400000.0,0.013700365567498216,0.34832176281068405,0.005565505859986959
ITW,Industrials,268.69,76522912000.0,0.013936651416067727,0.20738241631513699,0.005471146731988001
MA,Financial Services,570.89,500105314646.6,0.013948903192520545,0.3126235780737483,0.005466341245436425
ACEL,Consumer Cyclical,11.7,949963657.5,0.014052852187503899,0.2804589051420916,0.005425906700824589
OTIS,Industrials,70.06,26669693890.34,0.014092993684208924,0.19900352528641707,0.005410451927989704
NLOP,Real Estate,11.16,165325077.0,0.014169426095756587,0.27139547885370563,0.005381266985309294
GGG,Industrials,77.03,12475303062.72,0.01425783814622773,0.2364331769940608,0.005347898052135526
MCRI,Consumer Cyclical,119.28,2137798304.88,0.014284857005523415,0.29765365488888734,0.005337782857776742
CHE,Healthcare,519.01,6783440458.61,0.014385922934494262,0.3580127954228868,0.005300283144645905
UTHR,Healthcare,497.97,21358277895.24,0.014403570939236264,0.2541386439954525,0.005293788961886277
GNE,Utilities,15.6,410586118.8,0.014567501813624099,0.2099997408223101,0.00523421694573351
PEP,Consumer Defensive,138.45,188969236205.09998,0.014688172280316616,0.22509528439855161,0.005191215312204335
CHD,Consumer Defensive,96.54,22899665181.780003,0.014712555778955933,0.19809372950815982,0.005182611777006013
GIC,Industrials,39.76,1515187638.1599998,0.014787187980486461,0.2752044316484191,0.005156454692433448
ITIC,Financial Services,293.3,553749226.8000001,0.014874405683789216,0.23520087906621076,0.00512621925681205
CNXN,Technology,83.64,2110914600.3600001,0.014914930660965482,0.16669808921448243,0.005112290937391395
TJX,Consumer Cyclical,128.92,141808655944.12,0.014936081902791068,0.2572215931297075,0.005105051334488621
EW,Healthcare,86.72,49985408000.0,0.014968159494825547,0.20354709280778457,0.005094110927681799
DMLP,Energy,29.42,1444269223.3600001,0.014985911326714568,0.2566702911865323,0.005088076606589092
SLP,Healthcare,18.42,372541515.96000004,0.015017347198400009,0.21448973996586765,0.005077425715907982
FAST,Industrials,49.38,56663430154.740005,0.015047176513650434,0.25575063323287583,0.005067360297176232
CLH,Industrials,317.13,16740419958.24,0.015093234524214818,0.16449704182737648,0.005051896909674604
GWW,Industrials,1289.17,60721121398.14001,0.015159232680892544,0.31654833682651917,0.005029902664267667
WST,Healthcare,337.75,23769413615.5,0.015184603640524274,0.20237704378774607,0.005021498529364461
CAPL,Energy,23.0,877984865.0,0.015307376022524292,0.23282628171872358,0.00498122374061213
JOUT,Consumer Cyclical,45.15,473157100.5,0.015333285736966053,0.18951141199771873,0.004972806622004693
FELE,Industrials,99.13,4382682426.32,0.015521808366510547,0.20812668656470978,0.0049124085963069076
MNST,Consumer Defensive,43.15,84533083616.59999,0.015534429445340475,0.18499177915646065,0.004908417468318786
EXPD,Industrials,185.96,24173056067.120003,0.015553962425275908,0.34898495587022943,0.004902253378596697
VLTO,Industrials,95.53,23289578152.32,0.01565136835257845,0.18772372974931337,0.004871744318592651
MSM,Industrials,120.38,6722777353.24,0.015961646891329093,0.30439973058179354,0.004777042454892056
LVS,Consumer Cyclical,43.98,28485898072.32,0.015979421139772187,0.23372689600876753,0.004771728849432023
MTD,Healthcare,1325.52,26558859685.68,0.015999109520182662,0.28370889400885535,0.004765856796822799
PFGC,Consumer Defensive,96.79,15247622167.28,0.016065227200485862,0.22722260582263626,0.004746242545985833
MSA,Industrials,188.72,7280494700.08,0.016080228030392645,0.19325427137937493,0.004741814898753835
RLGT,Industrials,8.33,390107777.78000003,0.0161864313535829,0.2219212171605798,0.004710702636316244
AIT,Industrials,326.66,11988048300.960001,0.0161933829165068,0.2761090804106313,0.004708680406250978
IMKTA,Consumer Defensive,81.91,1555829338.1599998,0.016247106951272676,0.2194891673455792,0.00469311029210047
SPOK,Healthcare,10.64,222568977.68,0.016439354981637542,0.243319254752319,0.004638227286596351
IDT,Communication Services,68.36,1700015171.76,0.01651301326288624,0.34040030302357543,0.004617537916065815
FDX,Industrials,314.13,74317248586.44,0.01666874677497387,0.2887522405803335,0.004574396976523414
WMK,Consumer Defensive,70.87,1753649589.39,0.01678204186687152,0.28003096091187185,0.004543515351394436
MRTN,Industrials,14.29,1166945250.01,0.017245508274119227,0.2954088376115375,0.0044214101224435585
USFD,Consumer Defensive,103.09,22301534234.07,0.017459758672950212,0.3049321058078245,0.0043671545682934035
ROST,Consumer Cyclical,229.31,73253792654.1,0.017527602410824634,0.26956102502075474,0.004350250711003406
LNTH,Healthcare,100.44,6555956742.36,0.01759462143196337,0.29993552048500677,0.004333680332067609
TTC,Industrials,94.75,8969355065.5,0.018062530244368595,0.302302480310256,0.004221416591047502
PBI,Industrials,16.99,2329162701.8799996,0.018158194780281214,0.28432771409975655,0.004199176502538543
WMT,Consumer Defensive,106.05,841373788858.0499,0.018177245883855057,0.3057541461364369,0.004194775453722574
WSM,Consumer Cyclical,227.83,26833628984.59,0.01851717703802105,0.31762879870833155,0.00411776939288926
BJ,Consumer Defensive,89.85,11349375076.199999,0.018675945908332933,0.29184618209704094,0.004082763209110254
NGVT,Basic Materials,69.15,2377233306.3,0.018687867143713618,0.2790384693927484,0.004080158760949043
COLM,Consumer Cyclical,57.71,2954359225.7400002,0.01872867731317712,0.31044381450566044,0.00407126801187542
ROL,Consumer Cyclical,34.95,16816031869.800001,0.019028268773775458,0.27102671104080517,0.0040071677437603275
RL,Consumer Cyclical,347.23,20688740847.97,0.019160847260769276,0.3015077222931724,0.003979441191308448
IDXX,Healthcare,520.21,40982724354.36,0.019785341043266638,0.29805573957579234,0.003853836266108952
