timepoint,ticker,buy_proba,realized_fwd_return_pct
2013-01-02,SRPT,0.486,12.77
2013-01-02,HALO,0.482,-18.85
2013-01-02,MTG,0.474,27.18
2013-01-02,AMD,0.463,-4.35
2013-01-02,TGTX,0.409,5.14
2015-01-02,CLF,0.706,-4.41
2015-01-02,NOG,0.692,34.78
2015-01-02,AGIO,0.563,-3.74
2015-01-02,PTCT,0.532,35.45
2015-01-02,SUPN,0.526,11.07
2017-01-03,CLF,0.545,15.1
2017-01-03,CDE,0.487,-17.76
2017-01-03,SRPT,0.487,16.87
2017-01-03,HL,0.479,-6.18
2017-01-03,CNX,0.465,-11.03
2019-01-02,SLS,0.821,-0.71
2019-01-02,SMMT,0.689,89.17
2019-01-02,FND,0.685,47.46
2019-01-02,AXGN,0.647,-6.64
2019-01-02,AAOI,0.628,-16.62
2021-01-04,BFH,0.681,42.53
2021-01-04,BKD,0.663,43.71
2021-01-04,WES,0.662,35.77
2021-01-04,FLR,0.63,13.53
2021-01-04,M,0.626,41.35
2023-01-03,FRPT,0.557,18.78
2023-01-03,MAC,0.551,8.32
2023-01-03,NFLX,0.547,5.74
2023-01-03,TSLA,0.544,76.6
2023-01-03,QBTS,0.542,-51.39
2025-01-02,AMLX,0.635,-23.02
2025-01-02,GME,0.599,-20.74
2025-01-02,LMND,0.536,2.53
2025-01-02,SYM,0.534,-11.49
2025-01-02,CLSK,0.531,-17.88
2026-06-01,VISN,0.598,-5.87
2026-06-01,WGS,0.585,22.47
2026-06-01,WING,0.52,-11.83
2026-06-01,GPCR,0.518,22.83
2026-06-01,PRIM,0.511,-38.44
