feature,mean_ic,t_stat,p_value,q_value_bh,ic_sd,frac_windows_positive,mean_n_names,mean_ic_worstcase,n_windows,horizon,neutralize
momentum_5,-0.012004267280945087,-1.8800165700684177,0.06010581967046913,0.6656221479377771,0.08177035883938441,0.4634146341463415,1126.9634146341464,-0.011968509395346608,164,20,sector
pb_ratio,0.0122373921307661,1.6509045465523315,0.09875806731542891,0.6656221479377771,0.09492679915276324,0.5670731707317073,1095.3353658536585,0.010534549082069118,164,20,sector
volatility_20,-0.014307484892470424,-1.3281135822312424,0.1841405871330397,0.6656221479377771,0.13795898862471043,0.49390243902439024,1126.9634146341464,-0.008489365300172087,164,20,sector
daily_return,-0.007533097791675012,-1.2882831966627564,0.19764740019195215,0.6656221479377771,0.0748831641641804,0.4695121951219512,1126.9634146341464,-0.0073956777005287425,164,20,sector
pe_ratio,0.008985702349445407,1.2065535924604742,0.22760410808942488,0.6656221479377771,0.09537341542659412,0.5670731707317073,1004.9573170731708,0.00656943955485223,164,20,sector
debt_to_equity,0.005587641282307737,1.18317614061596,0.23673934681685105,0.6656221479377771,0.06047850374365877,0.5609756097560976,881.469512195122,0.006211855054468343,164,20,sector
roe,0.0061540236352126115,1.0166978588770492,0.30929718462984646,0.6656221479377771,0.0775156110585058,0.5426829268292683,1094.8353658536585,0.007657752717497881,164,20,sector
pct_from_high_252,0.011741926852277037,0.9872102201485811,0.3235395925758171,0.6656221479377771,0.15231814842974964,0.5304878048780488,1126.9634146341464,0.005745039970862966,164,20,sector
momentum_60,0.009434699740961113,0.9770633946228382,0.3285377685550559,0.6656221479377771,0.12365943687322219,0.524390243902439,1126.9634146341464,0.006379167218345008,164,20,sector
volatility_60,-0.010553975720987808,-0.923208443867552,0.3558985893378055,0.6656221479377771,0.14639904604258577,0.4634146341463415,1126.9634146341464,-0.008079051714274607,164,20,sector
momentum_120,0.00950424995447997,0.9066959768265713,0.3645675915343989,0.6656221479377771,0.13423880726845042,0.524390243902439,1126.9634146341464,0.004575200558697451,164,20,sector
roa,0.005329111041880131,0.8355375322480852,0.40341512392307033,0.6656221479377771,0.08167905990871037,0.5121951219512195,1125.8902439024391,0.006328390753740296,164,20,sector
pct_from_low_252,0.007487135790570536,0.8048608198636122,0.42089999999178795,0.6656221479377771,0.1191288219438412,0.5487804878048781,1126.9634146341464,0.002116618159982829,164,20,sector
rnd_intensity,0.00280273037104953,0.7732129043231831,0.43939639036373235,0.6656221479377771,0.04641989462285369,0.5,1122.1524390243903,0.0012076770447722034,164,20,sector
momentum_20,-0.005710486219444682,-0.7658793422485386,0.4437480986251847,0.6656221479377771,0.09548489090174905,0.5182926829268293,1126.9634146341464,-0.006711262375817597,164,20,sector
relative_strength_20,-0.005710486219444682,-0.7658793422485386,0.4437480986251847,0.6656221479377771,0.09548489090174905,0.5182926829268293,1126.9634146341464,-0.006711262375817597,164,20,sector
earnings_growth_yoy,0.0021680085478534986,0.41311824000002406,0.6795199863355981,0.9500727871860906,0.06720607678674038,0.5,1119.810975609756,0.003526776965309396,164,20,sector
volume_ratio_20,-0.0008914560250319594,-0.2714633163950459,0.7860347100111711,0.9500727871860906,0.04205432804910545,0.4878048780487805,1126.9634146341464,-0.0005797287924684904,164,20,sector
gross_margin,-0.0011337285346852165,-0.25828279212644967,0.7961886657249246,0.9500727871860906,0.056212840192296595,0.49390243902439024,1122.1524390243903,-0.0018059440431620454,164,20,sector
operating_margin,0.001183471642781482,0.21160028027681657,0.8324188906523777,0.9500727871860906,0.07162481968639275,0.49390243902439024,1122.1524390243903,0.00210897982394956,164,20,sector
market_cap,0.0013806305185604362,0.18727386755077333,0.851445911168941,0.9500727871860906,0.09441091650373518,0.4634146341463415,1126.3902439024391,0.0028656954314916936,164,20,sector
ps_ratio,0.0011961996453963455,0.1625153328365753,0.870900054920583,0.9500727871860906,0.09426082829917584,0.5548780487804879,1122.1524390243903,-0.0004027141161571704,164,20,sector
revenue_growth_yoy,-0.0002663065987571245,-0.047319757208023776,0.9622583817447967,0.9637041097867826,0.07207113213171377,0.5,1115.810975609756,-0.000104080378144467,164,20,sector
fcf_margin,0.0001804130262423714,0.04550585290859632,0.9637041097867824,0.9637041097867826,0.05077179954857681,0.5304878048780488,1121.841463414634,0.0003593441446673223,164,20,sector
