feature,mean_ic,t_stat,p_value,q_value_bh,ic_sd,frac_windows_positive,mean_n_names,mean_ic_worstcase,n_windows,horizon,q_value_bh_allhorizons
rnd_intensity,0.027450825862772164,3.27555201846135,0.0010545569166289237,0.02530936599909417,0.10732300841433819,0.5853658536585366,1122.1524390243903,0.02568282636640074,164,20,0.02530936599909417
pb_ratio,0.02674388142627008,2.927857463514458,0.003413064728291726,0.04095677673950071,0.11697590985732391,0.6036585365853658,1095.3353658536585,0.024921608380270653,164,20,0.04095677673950071
roa,0.01764662849979525,2.5245175602622827,0.011585721651633296,0.09268577321306637,0.08951694884964308,0.6158536585365854,1125.8902439024391,0.018542356149661654,164,20,0.09268577321306637
roe,0.012045102401478982,1.873040762490789,0.061062756349959946,0.3663765380997597,0.08235409359346493,0.5853658536585366,1094.8353658536585,0.013500873759558295,164,20,0.3663765380997597
fcf_margin,-0.012664685267883861,-1.653479823068024,0.09823324917172593,0.4715195960242845,0.09808834927030094,0.4695121951219512,1121.841463414634,-0.012379663167240281,164,20,0.4715195960242845
operating_margin,-0.01050549577929618,-1.3625305854183505,0.17303049849224528,0.6795854071221851,0.09873979398415623,0.4329268292682927,1122.1524390243903,-0.009471424640856627,164,20,0.6795854071221851
pe_ratio,0.012515243560363931,1.2866611769084482,0.1982124104106373,0.6795854071221851,0.12456528698766166,0.5609756097560976,1004.9573170731708,0.01005925130662356,164,20,0.6795854071221851
volume_ratio_20,-0.004212896368014456,-1.0169775515130068,0.30916410862106014,0.7722110442350738,0.05305072624994156,0.4695121951219512,1126.9634146341464,-0.0038693655057091994,164,20,0.7722110442350738
daily_return,-0.008852573860845234,-0.9586785232940827,0.33772072105706363,0.7722110442350738,0.11825472016890959,0.4817073170731707,1126.9634146341464,-0.008681885603211124,164,20,0.7722110442350738
momentum_120,0.009711228232787155,0.733039918050459,0.4635340831375623,0.7722110442350738,0.16965570180127973,0.5304878048780488,1126.9634146341464,0.004780836526869985,164,20,0.7722110442350738
momentum_60,0.008351713298867268,0.6686189659969268,0.5037385709904767,0.7722110442350738,0.15996273084575663,0.5121951219512195,1126.9634146341464,0.005299305119412516,164,20,0.7722110442350738
gross_margin,-0.0043766504406810725,-0.6531649781791059,0.5136499255441156,0.7722110442350738,0.08581059135663437,0.4695121951219512,1122.1524390243903,-0.004994816970797019,164,20,0.7722110442350738
momentum_5,-0.006661874940941989,-0.6458196434864422,0.5183961649131397,0.7722110442350738,0.13210131754683205,0.4573170731707317,1126.9634146341464,-0.0066527131625190045,164,20,0.7722110442350738
pct_from_high_252,0.00950293733848288,0.6397718319645577,0.5223209478520383,0.7722110442350738,0.19021934183002992,0.524390243902439,1126.9634146341464,0.003533092860919821,164,20,0.7722110442350738
pct_from_low_252,0.007551599502664904,0.6204059096094157,0.5349905827036672,0.7722110442350738,0.1558780438998115,0.524390243902439,1126.9634146341464,0.002181328818503224,164,20,0.7722110442350738
debt_to_equity,-0.0037497459179749617,-0.5664319071225132,0.5711002096807021,0.7722110442350738,0.08477661187404556,0.4695121951219512,881.469512195122,-0.0030677652405159757,164,20,0.7722110442350738
relative_strength_20,-0.0058038415845057065,-0.55461462535392,0.5791582831763054,0.7722110442350738,0.13401276137012888,0.5182926829268293,1126.9634146341464,-0.00680856125136782,164,20,0.7722110442350738
momentum_20,-0.0058038415845057065,-0.55461462535392,0.5791582831763054,0.7722110442350738,0.13401276137012888,0.5182926829268293,1126.9634146341464,-0.00680856125136782,164,20,0.7722110442350738
volatility_20,-0.007596909497567023,-0.4979319704264369,0.6185319925349757,0.7728715203747818,0.19538394086965635,0.49390243902439024,1126.9634146341464,-0.0018471732298805834,164,20,0.7728715203747818
market_cap,0.0033045040339656226,0.460045785294182,0.6454833570516725,0.7728715203747818,0.09198714801418914,0.5182926829268293,1126.3902439024391,0.0047764625296135114,164,20,0.7728715203747818
volatility_60,-0.00655597237839181,-0.40042056757062366,0.688846777885959,0.7728715203747818,0.20967307394177218,0.4878048780487805,1126.9634146341464,-0.004133355683061037,164,20,0.7728715203747818
ps_ratio,-0.0033732427263313642,-0.37391768260111174,0.7084655603435499,0.7728715203747818,0.11552966476184617,0.5182926829268293,1122.1524390243903,-0.004913323942235341,164,20,0.7728715203747818
revenue_growth_yoy,0.000926967497816752,0.11841046855733525,0.9057424314259197,0.9199110390820838,0.10025275847479512,0.47560975609756095,1115.810975609756,0.0010993940163125985,164,20,0.9199110390820838
earnings_growth_yoy,0.0006287539964226262,0.10054578086499416,0.9199110390820839,0.9199110390820838,0.0800827228997764,0.5121951219512195,1119.810975609756,0.0020011891515260075,164,20,0.9199110390820838
