feature,kind,ic_marg,t_naive_marg,t_nw_marg,n_days_marg,sign_consistency_marg,ic_cond,t_naive_cond,t_nw_cond,n_days_cond,sign_consistency_cond,ic_2019,ic_2020,ic_2021,ic_2022
slope_20,order-aware,-0.018487545834176135,-6.521202566360309,-2.032584175939891,1008,1.0,0.003170870497705208,1.1571417536817896,0.7583580298508918,1008,0.5,-0.005409518440268533,0.0013442608343753786,0.017927642194356417,-0.0011889550415946925
accel_20,order-aware,-6.004536146828517e-05,-0.021144811496898168,-0.010575235168351333,1008,0.5,-0.0008620480494934331,-0.282453873629068,-0.15112366986433662,1008,0.5,0.002427705372579933,-0.009390110242158082,0.007185893734870937,-0.003648898476896437
effratio_20,order-aware,-0.017790106356325098,-6.436997705637476,-1.820953966766935,1008,1.0,-0.00027922773015646844,-0.12822031754276464,-0.03813876509898339,1008,0.5,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205
slope_20__s0,SHUFFLE CONTROL,-0.018122129689163345,-7.29372944187091,-2.1190037437774856,1008,1.0,0.0009582381800087448,0.9122552555858086,0.47800058687958275,1008,0.25,-0.0007050038736849737,-0.003855982968017134,0.008634983120265723,-0.00022664140948684968
slope_20__s1,SHUFFLE CONTROL,-0.017984926435145234,-7.33052040524779,-2.1093183550089707,1008,1.0,0.0008107839754116995,0.7457258223248819,0.3695542592462945,1008,0.5,-0.0032974593244818463,-0.007432333668205869,0.010119259923340548,0.0038986331249349984
slope_20__s2,SHUFFLE CONTROL,-0.01753181998299889,-7.067165242697153,-2.0871106152660133,1008,1.0,0.0021645543943198307,2.0546911519388065,1.1801888452077536,1008,0.75,0.0007472813916355223,-0.001635133922363447,0.006267613836326845,0.003298032328230377
slope_20__s3,SHUFFLE CONTROL,-0.01808892197852192,-7.322001087339262,-2.1090376573794383,1008,1.0,0.00036741089865918334,0.3639506146817315,0.1819937168282126,1008,0.5,-0.0027833582414598435,-0.003281935693226301,0.0067791932718226046,0.0007718306318059576
slope_20__s4,SHUFFLE CONTROL,-0.01752162332315378,-7.0650853424048154,-2.0514188721774826,1008,1.0,0.0010783414846155031,1.0041701798723615,0.48100356370041225,1008,0.5,-0.004482844920735897,-0.0026390091547880017,0.007460897276225021,0.004000670673587779
accel_20__s0,SHUFFLE CONTROL,-0.0016664549812140934,-1.9348666530002174,-1.7714783204128635,1008,0.75,-0.0014739200806394195,-1.6784540268153914,-1.4707403933482501,1008,0.75,-0.003960682831433661,-0.0020113400055794027,0.001845143967515523,-0.001767835164006274
accel_20__s1,SHUFFLE CONTROL,0.0007390827153441314,0.8329945868717584,0.6987762090692995,1008,0.75,0.0008261662727953101,0.9130402262813961,0.7349537081263491,1008,0.75,-0.002604243272943807,0.0012432890541713983,0.002295793408093884,0.0023743140964720692
accel_20__s2,SHUFFLE CONTROL,0.000667750691741843,0.7713439396368297,0.8827116026376114,1008,0.5,0.0005127731749076183,0.573772377017776,0.6407515756543586,1008,0.5,0.002171613566336299,-0.0009838910390592877,-0.001644618513010836,0.0025219005567763443
accel_20__s3,SHUFFLE CONTROL,0.0015397201630077636,1.8025432740376983,1.7911261666952247,1008,0.75,0.0014145054801287045,1.5957986259873356,1.6113231003506407,1008,0.75,0.0023704171566211185,0.001009495882684937,0.002597774808718844,-0.00032496139288934613
accel_20__s4,SHUFFLE CONTROL,0.000536774350105522,0.6147944078834278,0.6756876758486902,1008,0.75,0.0006715601229316929,0.7571624228236064,0.8264973072904016,1008,0.75,0.0010741325181072153,0.0018071689764913579,-0.0010744136982528529,0.0008756562161734404
effratio_20__s0,SHUFFLE CONTROL,-0.017790106356325098,-6.436997705637476,-1.820953966766935,1008,1.0,-0.00027922773015646844,-0.12822031754276464,-0.03813876509898339,1008,0.5,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205
effratio_20__s1,SHUFFLE CONTROL,-0.017790106356325098,-6.436997705637476,-1.820953966766935,1008,1.0,-0.00027922773015646844,-0.12822031754276464,-0.03813876509898339,1008,0.5,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205
effratio_20__s2,SHUFFLE CONTROL,-0.017790106356325098,-6.436997705637476,-1.820953966766935,1008,1.0,-0.00027922773015646844,-0.12822031754276464,-0.03813876509898339,1008,0.5,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205
effratio_20__s3,SHUFFLE CONTROL,-0.017790106356325098,-6.436997705637476,-1.820953966766935,1008,1.0,-0.00027922773015646844,-0.12822031754276464,-0.03813876509898339,1008,0.5,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205
effratio_20__s4,SHUFFLE CONTROL,-0.017790106356325098,-6.436997705637476,-1.820953966766935,1008,1.0,-0.00027922773015646844,-0.12822031754276464,-0.03813876509898339,1008,0.5,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205
momentum_20,reference,-0.021511095970443338,-7.688509634171185,-2.2201456270562243,1008,1.0,0.0006234928337490636,0.44853387645559584,0.4330695465867571,1008,0.5,-0.0020525155165452827,0.004900691415460141,0.0012376040837677167,-0.001617675181802445
volatility_60,reference,-0.02251515992179718,-17.965490823674063,-3.7458999900927963,1008,1.0,-0.026631313475656136,-7.5972286579388095,-1.4987681356210178,1008,0.5,0.00015876153227142116,0.03656322910310858,-0.09414674856227952,-0.049441785717074936
